"Facility Name","name (OpenLMIS)","DHIS2_id","OpenLMIS Code","DHAMIS Facility ID"
"Blm Rumphi ","Blm Rumphi","x8xrWAL5gAZ","RU0425","446"
"Blm Zomba ","Blm Zomba","ODxMk91ZMph","ZA2759","244"
"Block F Village Clinic","Block F Village Clinic","Owq4OLu6PR9","Not existing",""
"Block G Village Clinic","Block G Village Clinic","edBExN6cvtU","Not existing",""
"Block H Village Clinic","Block H Village Clinic","iKtJ8sYpYMN","Not existing",""
"Bluegum Village Clinic","Bluegum Village Clinic","sHVFJhQMCiJ","Not existing",""
"Bolero Rural Hospital","Bolero Rural/ Community Hospital","Oc3g2Wv2s5M","RU0401","451"
"Bona Village Clinic","Bona Village Clinic","mFU3nMY807V","Not existing",""
"Bondo Health Centre","Bondo Health Centre","XUpPIr0oxZ5","MJ3201","882"
"Bowe Health Centre","Bowe Health Centre","glIscvEdIJz","DA1301","883"
"Bowe Village Clinic","Bowe Village Clinic","KJ4wRL11kGT","DA1301",""
"Bua Health Center (Nkhotakota)","Bua Health Center (Nkhotakota)","BQ3aLnP32uB","KK1102",""
"Bua Health Centre (Kasungu)","Bua Health Centre","T118NxiYoIL","KU1001","1216"
"Bugulira Village Clinic","Bugulira Village Clinic","amCAZ86nPEk","Not existing",""
"Bula Health Centre","Bula Health Centre","H8jU8sCWscO","NB0301","886"
"Bulaimu Village Clinic","Bulaimu Village Clinic","wOYhXvJhatY","Not existing",""
"Bulala Health Centre","Bulala Health Centre","hDkZbRiskMg","MZS0501","591"
"Bunda Clinic","Bunda College Health Centre","sTbvB4c8oX1","LL4050","1124"
"Bupighu Village Clinic","Bupighu Village Clinic","FST4g7Zo116","Not existing",""
"Bvumbwe Health Centre","Bvumbwe Health Centre","c2h7xIrYLsw","TO3101",""
"Bvumbwe Research Health Centre","Bvumbwe Research Health Centre","rhk8NxfYxDu","TO3101","11"
"Makungwa Health Centre(Bvumbwe)","Bvumbwe-Makungwa Health Centre","q3B88KiRZ72","TO3166","119"
"Bwaila Hospital","Bwaila Hospital","XtF7Xzv3edv","LL1503","10"
"Bwalo Village Clinic","Bwalo Village Clinic","zQA8yVN8Gu3","Not existing",""
"Bwanje Health Centre","Bwanje Health Centre","LqUvHvI2ifc","NU1803","511"
"Bwengu Health Centre","Bwengu Health Centre","jn7xfbY43dS","MZN0551","445"
"Care Private ClinicAnd Dental Surgery Art","Care Private ClinicAnd Dental Surgery Art","bnjsICNDB9L","Not existing",""
"Carlsberg / Sobo Clinic Lilongwe ","Carlsberg / Sobo Clinic Lilongwe","RgWEk9xdDv2","LL4051","1132"
"Carlsberg / Sobo ClinicBlantyre","Carlsberg / Sobo ClinicBlantyre","Lx9CrjbHms2","BT5048","788"
"Cck Health Clinic & Diagnostic Centre ","Cck Health Clinic & Diagnostic Centre","peJm0gcxzFw","LL1587",""
"Central East African Railways Clinic","Central East African Railways Clinic","LcMpQWnS27k","BT5049","1134"
"Central East Zone","Central East Zone","iQx6Edf0Xib","cest",""
"Central Health Clinic Area 47 ","Central Health Clinic Area 47","IFUSwNgJdi7","LL4079",""
"Central Hospital","Central Hospital","tY7DfIReFcY","LL1519",""
"Central West Zone","Central West Zone","tmIma8xiccz","cwes",""
"Chabwera Village Clinic","Chabwera Village Clinic","LeOIFTW8XLA","Not existing",""
"Chadza Health Centre","Chadza Health Centre","cnyjtiMcC1D","LL1563","687"
"Chagunda","Chagunda Health Centre","fe9EboFXU0V","SA1422","382"
"Chakachadza Village Clinic","Chakachadza Village Clinic","kdo1e43y3ku","Not existing",""
"Chakhaza Health Centre","Chakhaza Health Centre","SL1ePpPFaki","DA1302","478"
"Chamalaza Village Clinic","Chamalaza Village Clinic","VnAgBxp1C7a","Not existing",""
"Chamama Health Facility","Chamama Health Centre","LmCUb5UShy6","KU1024","316"
"Chamba Health Centre (Zomba)","Chamba Dispensary","T9SOI57r1OF","MHG2601","456"
"Chamba Health Centre (Machinga)","Chamba Health Centre (Machinga)","lNsSSuNKbIP","MHG2601","1159"
"Chambe Health Centre","Chambe Health Centre","Ln1grpEjzuK","MJ3202","13"
"Chambo Health Centre","Chambo Health Centre","h9csPxuoZUo","CP0102","440"
"Champiti Health Centre","Champiti Health Centre","l86AxfTg26J","NU1838","1225"
"Chamwabvi Dispensary","Chamwabvi Health Centre","nN7JVSObAf7","KU1002","891"
"Chancellor College Clinic ","Chancellor College Clinic Health Centre","xt7sSjNqHjP","ZA2760","607"
"Chang'ambika Health Centre","Chang'ambika Health Centre","Ca0b3h49Loo","CK3301","573"
"Changalume Barracks Clinic(Muluzi)","Changalume Barracks Health Centre","lOis6dAt7D0","ZA2746","596"
"Changata Health Centre","Changata Health Centre","SnNGsSfYB0h","TO3103","14"
"Changoma Village Clinic","Changoma Village Clinic","d7jr65K2gqz","Not existing",""
"Chankhanga Village Clinic","Chankhanga Village Clinic","PKDvqLriSRI","Not existing",""
"Chankhungu Health Centre","Chankhungu Health Centre","cZkBc7Ri1HF","DA1303","15"
"Chanolo Village Clinic","Chanolo Village Clinic","QnEcbI72Mdv","Not existing",""
"Chantulo Village Clinic","Chantulo Village Clinic","ZWwTxWK5fmN","Not existing",""
"Chapamba Village Clinic","Chapamba Village Clinic","LEb3csD471A","Not existing",""
"Chapananga Health Centre","Chapananga Health Centre","T3V75V8sfxa","CK3302","577"
"Chapasuka Village Clinic","Chapasuka Village Clinic","PQJN3gTI5fe","Not existing",""
"Chapola Village Clinic","Chapola Village Clinic","XQP34NU1cHA","MH026",""
"Chabvala Health Centre","Chavala Health Centre","grfnmKmWiJ9","BT2902","888"
"Chavirwa Village Clinic","Chavirwa Village Clinic","xaDbD8Bdpcw","Not existing",""
"Cheghama Village Clinic","Cheghama Village Clinic","w3OtbFHjkJc","Not existing",""
"Chembe Village Clinic","Chembe Village Clinic","FqSaqS06ixI","Not existing",""
"Chendo Village Clinic","Chendo Village Clinic","DNFxVqOg558","Not existing",""
"Chesese-1 Village Clinic","Chesese-1 Village Clinic","A4Jd0r2M6sm","Not existing",""
"Chezi Dispensary","Chezi Mission Hospital","salIVfMt9RA","DA1336","1309"
"Chibanda Village Clinic","Chiband Village Clinic","S6ukM8xL6e2","Not existing",""
"Chibisa Village Clinic","Chibisa Village Clinic","s2vA641Z6Vk","Not existing",""
"Chibwalidzo Village Clinic","Chibwalidzo Village Clinic","HwVISDO1WWv","Not existing",""
"Chibwana Village Clinic","Chibwana Village Clinic","Qy0Ccfk5VKS","Not existing",""
"Chichiri Escom Clinic","Chichiri Escom Clinic","uMLl8OkWfHS","BT5050","783"
"Chichiri Prison","Chichiri Prison","vlYFnmt9KW7","BT5051","1149"
"Chichiri Prison Clinic","Chichiri Prison Clinic","UkdRIbdSZw5","BT5051",""
"Chididi Health Centre (Nkhotakota)","Chididi Health Centre","RViCF6QIybs","KK1103","341"
"Chididi Health Centre (Nsanje)","Chididi Health Centre","WG3SI4hkJFF","NJ3401","1251"
"Chidothi Village Clinic","Chidothi Village Clinic","EpkQSoo4DkZ","Not existing",""
"Chiyendausiku Health Centre","Chiendausiku Health Centre","HrQHweMv09u","BLK3612","896"
"Chifunga Health Centre","Chifunga Health Centre","pciHYsH4glX","NE3701","898"
"Chigamba Village Clinc","Chigamba Village Clinc","pyTYNEYERBb","Not existing",""
"Chigodi Health Centre","Chigodi Health Centre","ShsLuR0OWt2","NU1804","357"
"Chigumula Clinic","Chigumula Clinic","Hger69iTvVS","Not existing","751"
"Chihepusha Village Clinic","Chihepusha Village Clinic","fGPh56ExVBp","Not existing","406"
"Chikadwe Village Clinic","Chikadwe Village Clinic","AnrDWFehDAq","Not existing",""
"Chikandazovu Village Clinic","Chikandazovu Village Clinic","h6sdrLC3SXr","Not existing",""
"Chikande Health Centre","Chikande Health Centre","fmvjc3pgmee","NU1805","508"
"Chikangawa Health Centre","Chikangawa Health Centre","eEEYKm78UBf","MZS0571","900"
"Chikojo Village Clinic","Chikojo Village Clinic","J9q1EdJsZr7","Not existing",""
"Chikole Dispensary","Chikole Health Centre","KjntOeutm1x","MH2501","902"
"Chikowa Dispensary","Chikowa Health Centre","fwew5LFgo0P","BT2903","745"
"Chikowa Health Centre (Blantyre)","Chikowa Health Centre (Blantyre)","Keuq4t91SIs","BT2903","745"
"Chikowa Health Centre (Lilongwe)","Chikowa Health Centre (Lilongwe)","TJjz5jiFlqF","BT2903","907"
"Chikuluma Village Clinic","Chikuluma Village Clinic","Zo47i5gtc33","Not existing",""
"Chikuse Health Centre","Chikuse Health Centre","Y4kaJs4jbod","DZ1702","345"
"Chikutu Village Clinic","Chikutu Village Clinic","ZFeA0Rd3Tlc","Not existing",""
"Chikwakwata Village Clinic","Chikwakwata Village Clinic","KBE98ME5Ffn","Not existing",""
"Chikwapa Village Clinic","Chikwapa Village Clinic","PBv9TwCZNUU","Not existing",""
"Chikwawa-DHO","Chikwawa DHO Pharmacy","GeGgihdOJ2p","CK3303",""
"Chikwawa District Hospital","Chikwawa District Hospital","JQw6oDs7C6C","CK3303","16"
"Chikwaza Village Clinic","Chikwaza Village Clinic","SQtRBtMZuPy","Not existing",""
"Chikweo Health Centre","Chikweo Health Centre","teLlh1E6CxB","MHG2602","17"
"Chikwewo Village Clinic","Chikwewo Village Clinic","ZZqW7iEE0db","Not existing",""
"Chikwina Health Centre","Chikwina Health Centre","QlnCjd3M0E1","NB0303","497"
"Chilambwe Health Centre","Chilambwe Health Centre","bNcnSc6bFll","NB0304","937"
"Chilanga Village Clinic","Chilanga Village Clinic","wwiidMAvULX","Not existing",""
"Chilawe Village Clinic","Chilawe Village Clinic","jCTq1P1E0Ki","Not existing",""
"Chilaweni","Chilaweni","WehVfN1t0Aa","BT5077",""
"Chilawi Village Clinic","Chilawi Village Clinic","D8SDGZlGikH","Not existing",""
"Child Legacy Health Centre","Child Legacy Health Centre","jg1ZTgMBMGt","LL4093",""
"Chileka Health Centre","Chileka Health Centre","OXaQtzbzMoy","BT2904","18"
"Chileka Health Centre (Lilongwe)","Chileka Health Centre (Lilongwe)","iiBtWzxLMUo","LL1505","776"
"Chileka Health CentreLilongwe ","Chileka Health CentreLilongwe","s0o7fcIgDh5","BT2904",""
"Chileka Sda Health Centre","Chileka Sda Health Centre","v0GaaWRKm61","BT2923","852"
"Chileka Village Clinic","Chileka Village Clinic","fwXqPC3NKxN","BT2923",""
"Chileka Village Clinic","Chileka Village Clinic","zqlM4L0V0PP","Not existing in OpenLMIS",""
"Chilida Village Clinic","Chilida Village Clinic","L5PXmL0Fwtl","Not existing",""
"Chilingoma Village Clinic","Chilingoma Village Clinic","SGFxTl1A7yU","Not existing",""
"Chilipa Health Centre (Mangochi)","Chilipa Health Centre","fwUSM7rJllv","MH2502","19"
"Chilipa Health Centre (Zomba)","Chilipa Health Centre","biJPVK5IRJn","ZA2703","593"
"Chilobwe Majiga Health Centre","Chilobwe/Majiga Health Centre","Xx5fmiIR0fW","LL1564","854"
"Chilombo Village Clinic","Chilombo Village Clinic","RQO7aaKHyQs","Not existing",""
"Chilomoni BLM Clinic","Chilomoni BLM Clinic","kdClQ6xlOfO","BT2905","1442"
"Chilomoni Health Centre","Chilomoni Health Centre","DAueKP2YUvT","BT2905","20"
"Chilonga Health Centre","Chilonga Health care Health Centre","Px30WvhGQQf","MH2539","1242"
"Chilonga Village Clinic","Chilonga Village Clinic","jS75r1tAj2W","MH2539",""
"Chilumba Barracks Health Centre","Chilumba Barracks Health Centre","Z6krawIPDu7","KA0224","396"
"Chilumba Rural Hospital","Chilumba Rural/ Community Hospital","uHPXBdcz85N","KA0201","21"
"Chimaliro Health Centre","Chimaliro Health Centre","WraUiby57xZ","TO3104","22"
"Chimatiro Health Centre","Chimatiro Health Centre","Qt4jxB7puZZ","BLK3626","1465"
"Chimbalanga Health Centre","Chimbalanga Health Centre","JCrM0zdamqT","LL1506","686"
"Chimbalanga Village Clinic","Chimbalanga Village Clinic","Gr5IK7T9v1T","LL1506",""
"Chimbira Village Clinic","Chimbira Village Clinic","fOiNIx4jogW","Not existing",""
"Chimbongondo Village Clinic","Chimbongondo Village Clinic","h2ovGzQMwfM","Not existing",""
"Chimembe Health Centre","Chimembe Health Centre","ZaZEarjsHQX","BT2906","859"
"Chimoto Health Centre","Chimoto Health Centre","VbO2d6WVW6Q","DZ1703","346"
"Chimphinga Village Clinic","Chimphinga Village Clinic","qyx18dEMzkR","Not existing",""
"Chimvu Health Centre","Chimvu Health Centre","G5HX22BSHz2","TO3105","649"
"Chimwala Dispensary","Chimwala Health Centre","REoFvVbcLG0","LL1593","673"
"Chimwamkango Dispensary","Chimwamkango Dispensary","ZOUGIF58iaF","MC1617","1184"
"Chimwawa Health C","Chimwawa","IeJAi0sDcso","CZ2822","1467"
"Chimwawa Health Centre","Chimwawa Health Centre","cf695fTZpfo","CZ2822","1467"
"Chimwaza Village Clinic","Chimwaza Village Clinic","zkCKcsgy1dI","Not existing",""
"Chinama Village Clinic","Chinama Village Clinic","ugLSSkA8WYW","Not existing",""
"Chinamwali Private Clinic","Chinamwali Private Clinic","alk7M7pmalI","ZA2742","810"
"Ching'oma Dispensary","Ching'oma Dispensary","AnxpWhqWpXn","Not existing",""
"Chingale Health Centre","Chingale Health Centre","o0hXXoxJnMI","ZA2704","911"
"Chingazi Health Centre","Chingazi Hospital","mTERmNgVCmE","TO3106","912"
"Chinguluwe Health Centre (Ntchisi)","Chinguluwe Health Centre","Pl1TeNOgCAr","NS1201","24"
"Chinguluwe Health Centre (Salima)","Chinguluwe Health Centre","EiQqa3YIjqD","SA1401","914"
"Chinguwo Village Clinic","Chinguwo Village Clinic","OtATaSPGCDd","Not existing",""
"Chiniko (Nsoni School) Village Clinic","Chiniko (Nsoni School) Village Clinic","d3YhZfWcZGw","Not existing",""
"Chinkhwiri Health Centre","Chinkhwiri Health Centre","RTw32nxbRoB","DA1305","470"
"Chinongo Village Clinic","Chinongo Village Clinic","LBnh8dXX8kY","Not existing",""
"Chintheche Rural Hospital","Chintcheche Rural/ Community Hospital","jkmHTPe5MLQ","NB0305","26"
"Chinthebe Dispensary","Chinthebe Dispensary","P4Z5FpCJ4Ri","TO022",""
"Chinthembwe Health Centre","Chinthembwe Health Centre","QZm8o1i8tW4","NS1202","27"
"Chinyama Health Centre","Chinyama Health Centre","TxWRIMbBOpS","KU1062","916"
"Chioko Village Clinic","Chioko Village Clinic","h61ucWmVBJo","Not existing",""
"Chiole Dispensary","Chiole Health Centre","jnrlLIULfCR","NU1845",""
"Chioshya Health Centre","Chiosya Health Centre","RNuiMEnAfC1","MC1601","917"
"Chipho Health Centre","Chipho Health Centre","xJQqTtpdsHP","TO3124","28"
"Chipwanya St Josephs Health Centre","Chiphwanya St Joseph Health Centre","WiVCsIgUw2D","DZ1704","919"
"Chipini Health Centre","Chipini Health Centre","imXmafCgb5n","ZA2705","29"
"Chipire Village Clinic","Chipire Village Clinic","OhbGud5v1Aj","Not existing",""
"Chipojola Village Clinic","Chipojola Village Clinic","AAmjpPaiQLM","Not existing",""
"Chipoka Health Centre","Chipoka Health Centre","wrDImy8FHpR","SA1402","372"
"Chipoka Village Clinic","Chipoka Village Clinic","m6bw5rK36b9","SA1402",""
"Chipole Village Clinic","Chipole Village Clinic","uKrW44UQf6X","Not existing",""
"Chiponde Health Centre (Mangochi)","Chiponde Dispensary","VphQvehsaVR","MH2553","490"
"Chiponde Village Clinic","Chiponde Village Clinic","dcao89CDghq","MH2553","677"
"Chipoo Village Clinic","Chipoo Village Clinic","eXxfzLe9qjq","Not existing",""
"Chipumi Health Centre","Chipumi Health Centre","eNs19G9xMyc","MC1602","918"
"Chipwaila Health Centre","Chipwaila Health Centre","pkMXL4XF9ie","CK3304","30"
"Chipya Village Clinic","Chipya Village Clinic","WRq2j1U0mxQ","Not existing",""
"","Chiradzulu DHO Pharmacy","CtdWtNCPRNh","CZ2801",""
"Chiradzulu District Hospital","Chiradzulu District Hospital","lsrGqZfICKm","CZ2801","31"
"Chirimba Health Centre","Chirimba Health Centre","tDldFfYwnS1","BT5062","1255"
"Chiringa Health Centre","Chiringa Dispensary","pmteRCqzbeC","PE3520","922"
"Chiringa Maternity","Chiringa Maternity Health Centre","sqMFC2sNuGZ","PE3501","923"
"Chisala Health Centre","Chisala Health Centre","QX85XzKEJjg","NB0321","925"
"Chisansu Health Centre","Chisansu Health Centre","u57H3XRjoRa","CP0136","431"
"Chisansu Village Clinic","Chisansu Village Clinic","EkZLgdzyHCI","CP0136",""
"Chisepo Health Centre","Chisepo Health Centre","pw9cneMv5fA","DA1306","1110"
"Chisi Health Centre","Chisi Health Centre","rtb22Ro8Gez","ZA2737","1158"
"Chitsimuka Health Centre","Chisimuka Health Centre","AMklHWTt6sX","RU0421","1210"
"Chisitu Health Centre","Chisitu Health Centre","PWPeexIOdmn","MJ3221","926"
"Chisitu Village Clinic","Chisitu Village Clinic","DhtBVPcq03j","MJ3221",""
"Chisitu Outreach Clinic (Chitipa DH)","Chisitu Village Clinic (Chitipa DH)","qbx8WPVz6ZP","MJ3221",""
"Chiskombe Village Clinic","Chiskombe Village Clinic","htjHvP1ADcn","Not existing",""
"Chisoka Health Center","Chisoka Health Center","Lb0qop7gLSH","TO3127","1227"
"Chisoka Health Centre","Chisoka Health Centre","T3MNLfsBtT4","TO3127",""
"Chisuwi Village Clinic","Chisuwi Village Clinic","CrWZOjdDxzt","Not existing",""
"Chitala Health Centre","Chitala Health Centre","d92FGpiO9lP","SA1403","384"
"Chitambi Village Clinic","Chitambi Village Clinic","rAY10YyxT6Q","Not existing",""
"Chitambula Village Clinic","Chitambula Village Clinic","hLS3FYxpP7N","Not existing",""
"Chitawira Private Hospital ","Chitawira Private Hospital","mTaqm2jDRGp","BT5067","781"
"Chitedze Health Centre","Chitedze Health Centre","Xc3odqjv7h0","LL1507","33"
"Chitekesa Health Centre","Chitekesa Health Centre","u4mqH5iShLL","PE3503","928"
"Chitera Health Centre","Chitera Health Centre","mxsHHN4zZft","CZ2802","34"
"Chitheka Health Centre","Chitheka Health Centre","Sf6KvkaT3UQ","NB0306","499"
"Chithumba Health Centre","Chithumba Health Centre","KkApQFpVIaQ","CK3324","575"
"Chitimba Health Centre","Chitimba Health Centre","rdHVTY312fc","RU0403","35"
"Chitimbe Village Clinic","Chitimbe Village Clinic","phoeUEZS2Xp","Not existing",""
"Chitipa-DHO","Chitipa DHO Pharmacy","cd0I6ndBMrT","CP0103",""
"Chitipa District Hospital","Chitipa District Hospital","qzGX4XdWufs","CP0103","36"
"Chitokoto A Village Clinic","Chitokoto A Village Clinic","gK3nbmrNQgn","Not existing",""
"Chitowo Health Centre","Chitowo Health Centre","b3OduOhZKuu","DZ1705","930"
"Chitungwani Village Clinic","Chitungwani Village Clinic","jLJWiXP8QS3","Not existing",""
"Chiumba mpasuku Village Clinic","Chiumba mpasuku Village Clinic","K3w13mfn1bM","Not existing",""
"Chiumbangame Health Centre","Chiumbangame Dispensary","ybAxvKHkzhK","MH2503","931"
"Chiunda Dispensary","Chiunda Dispensary","y87TEluIKWT","MH2540","1045"
"Chiunjiza Health Centre","Chiunjiza Health Centre","HTfgCPyMHUx","LL1508","933"
"Chiuta Village Clinic","Chiuta Village Clinic","eQy4bMlrae7","Not existing",""
"Chiuta Village Clinic (Thuchila)","Chiuta Village Clinic (Thuchila)","DFZSObmelhR","Not existing",""
"Chivanga Village Clinic","Chivanga Village Clinic","Db9u19bExk7","Not existing",""
"Chiwamba Health Centre","Chiwamba Health Centre","RDvTBoMA8m4","LL1509","37"
"Chiwanga Village Clinic","Chiwanga Village Clinic","GDWoFZSeqQR","Not existing",""
"Chiwangalala Village Clinic","Chiwangalala Village Clinic","XHXi54pn7rP","Not existing",""
"Chiwaula Village Clinic","Chiwaula Village Clinic","ur69KpKkCy8","Not existing",""
"Chiwe Health Centre","Chiwe Health Centre","vCGIve5RtyE","LL1510","935"
"Chiwoza Health Centre","Chiwoza Health Centre","ivq1pAeZs5o","LL4095","1427"
"Chizimu Village Clinic","Chizimu Village Clinic","cAY2PdfuyL2","Not existing",""
"Chizolowondo Health Centre","Chizolowondo Health Centre","e1HOrMxNhpf","DA1321","1201"
"Chizumulo (St Marys) Health Centre","Chizumulo (St Marys) Health Centre","Kzo3T3VQUwH","LK0602","974"
"Choma Health Centre","Choma Health Centre","cIJ6LCvgpw0","MZN0502","951"
"Chonde Rural Hospital","Chonde Health Centre","TusMbw27jzb","MJ3204","39"
"Chongoni Health Centre","Chongoni College of Forestry Dispensary","LkjXIWw5W9v","DZ1706","952"
"Chuba Village Clinic","Chuba Village Clinic","Lnwosqr0ti9","Not existing",""
"Chulu Health Centre","Chulu Health Centre","n18VsHigwU8","KU1003","40"
"Chunyera Village Clinic","Chunyera Village Clinic","RV7WvM5rnEN","Not existing",""
"City Assembly Dispensary","City Assembly Dispensary","cKd7jidUXBo","Not existing in OpenLMIS",""
"City Centre Clinic","City Centre Clinic","lAWnwgQl9RP","LL1596","792"
"City Clinic Zomba","City Clinic Zomba","DMxPrQcg4z4","ZA2749","1033"
"Cobbe Barracks Hospital","Cobbe Barracks Health Centre","rzzi29nBvbs","ZA2729","600"
"Comfort Health Centre","Comfort Health Centre","JaTdpYBBV5m","BLK3615","1077"
"Concerned Youth Organisation","Concerned Youth Organisation","VDu3RkKQEZb","Not existing",""
"COPRED","COPRED","w2BaEat71Qr","Not existing",""
